NAME,FIRST NAME,TRIBE,NAT.,,D,M,Y,ROUTE,CAUSE,
1,VILLARET,Bernard,,F,late,06.,1975,S Ridge-E Ridge,Cold Exhaustion,
2,HIRAMATSU,Yoshinori,,JAP,27.,05.,1976,S Gash Glacier,Fall,
3,MIYAMOTO,Taketoshi,,JAP,27.,05.,1976,S Gash Glacier,Fall,
4,MATSUURA,Osamu,,JAP,01.,06.,1976,S Gash Glacier,Exhaustion,
5,BRINDEIRO,Glenn,,USA,02.,07.,1982,SW Ridge - E Ridge,Avalanche,
6,GRUNER,Gerhard,,GER,mid,07.,1982,SW Ridge - E Ridge,Disappearance,
7,WOLF,Norbert,,A,mid,07.,1982,SW Ridge - E Ridge,Cold,
8,NAKANO,Toru,,JAP,24.,06.,1985,SW Ridge - E Ridge,Fall,
9,BOUYGUES,Pierre,,F,11.,07.,1985,SW Ridge - E Ridge,Illness,
10,RÁBAGO,Carlos,Madrilian,E,12.,07.,1986,SW Ridge - E Ridge,Illness,
11,HEFTI,Jean- Pierre,,CH,29.,06.,1987,SW Ridge - E Ridge,Fall,x
12,ALBET,Henri,,F,25.,06.,1988,SW Ridge - E Ridge,Fall on monoski,x
13,SILVER,Gary,,USA,09.,07.,1988,SW Ridge - E Ridge,Illness,
14,BASSON,Michel,,F,06.,07.,1988,SW Ridge - E Ridge,Pulmonary Edema,
15,IBARGUREN,Antton,Basque,E,13.,07.,1989,SW Ridge - E Ridge,Fall,x
16,IÑURRATEGI,Felix,Basque,E,28.,07.,2000,SW Ridge - E Ridge,Fall,x
17,BASSINE,François,,BEL,20.,07.,2001,SW Ridge - E Ridge,Fall,
18,ZAUNER,Ernst-Robert,,GER,18.,07.,2007,SW Ridge - E Ridge,Avalanche,
19,HECKELE,Arne,,GER,18.,07.,2007,SW Ridge - E Ridge,Avalanche,
20,BARBERO,Luis María,Valencian,E,20.,07.,2009,SW Ridge - E Ridge,Disappearance,
© Eberhard Jurgalski for 8000ers.com,,,,,,,,,,
