29.05.1953,1,a,S Col - SE Ridge,2994,6 S-N Trav.,Edmund Percival Hillary (New Zealand) and Tenzing Norgay (Indo-Tibetan)
25.05.1960,2,a,N Col - NE Ridge,1973,"14 N-S Trav. Wang Fu-Chou, Chu Ying-Hua (China) and Gongbu (Tibet)",
22.05.1963,3,a,W Ridge - Hornbein Couloir (from W Cwm),2,2 W-S Trav.,Thomas F. (Tom) Hornbein and William F. (Willy) Unsoeld (USA)
24.09.1975,4,a,SW Face,15,,Dougal Haston and Douglas K. (Doug) Scott (UK)
13.05.1979,5,a,W Ridge Integral,13,4 W-S Trav.,Andrej Stremfelj and Jernej (Nejc) Zaplotnik (Slovenia)
10.05.1980,6,a,N Face (Japanese & Hornbein Couloirs),7,,Tsuneo Shigehiro and Takashi Ozaki (Japan)
19.05.1980,7,a,S Pillar,14,,Jerzy (Jurek) Kukuczka and Andrzej (Leszek) Czok (Poland)
20.08.1980,8,a,N Col - N Ridge - N Face,1,,Reinhold Messner (Italy)
21.10.1981,1,b,S Col Couloir - S Pillar - SE Ridge,28,,Christopher M. (Kris) Kopczynski (USA) and Sungdare (Nepalese Sherpa)
04.05.1982,9,a,SW Face rib - W Ridge,11,,Vladimir (Volodya) Balyberdin and Eduard Myslovsky (Russia)
08.10.1983,10,a,E Face - SE Ridge,6,,"Carlos P. R. Buhler, Kim A. Momb and Louis F. (Lou) Reichardt (USA)"
03.10.1984,11,a,N Face (Norton Couloir),2,,Timothy J. Macartney-Snape and Gregory (Greg) Mortimer (Australia)
15.10.1984,7,b,S Pillar (crest) to SE Ridge,3,,"Jozef (Juzek) Psotka (†), Zoltan Demján (Slovakia) and Ang Rita (Nepalese Sherpa)"
20.10.1984,12,a,N Col - N Face (Norton Couloir),1,,Philip (Phil) Ershler (USA)
20.05.1986,13,a,W Ridge - Hornbein Couloir (from Tibet),4,,Sharon Wood (f) and Dwayne Congdon (Canada)
12.05.1988,14,a,E Face - S Col - SE Ridge,7,,Stephen M. W. Venables (UK)
17.05.1991,15,a,N Face (E Part to Norton Couloir),2,,Battistino (Battista) Bonali (Italy) and Leopold Sulovsky (Czech Republic)
11.05.1995,16,a,NE Ridge Integral,6,,"Kiyoshi Furuno, Shigeki Imoto (Japan), Dawa Tshering II, Lhakpa Nuru I, Nima Dorje I and Pasang Kami I (Nepalese Sherpas)"
20.05.1996,17,a,NNE Couloir,3,,"Valeri Kokhanov, Piotr (Petr) Kuznetsov and Grigori Semikolenkov (Russia)"
30.05.2004,18,a,Central N Face - NE ridge,8,,"Andrei Mariev, Pavel Shabalin (Russia) and Ilyas Tukhvatullin (Uzbekistan)"
20.05.2009,19,a,SW Face (left part),4,,"Park Young-Seok, Jin Jae-Chang, Kang Ki-Seok and Shin Dong-Min (South Korea)"
,,,,5104,,
,,,S Col and N Col standard routes,4967,,
,,,other routes,137,,
08.05.1978,1 a,,S Col - SE Ridge,72,,Peter Habeler (Austria) and Reinhold Messner (Italy)
20.08.1980,8 a,,N Col - N Ridge - N Face,1,,Reinhold Messner (Italy)
08.10.1983,1 b,,S Col Couloir - S Pillar - SE Ridge,2,,Haruichi Kawamura and Shomi Suzuki (Japan)
20.04.1984,5 a,,W Ridge Integral,3,,"Hristo Prodanov (†, Bulgaria)"
03.10.1984,11 a,,N Face (Norton Couloir),2,,Timothy J. Macartney-Snape and Gregory (Greg) Mortimer (Australia)
15.10.1984,7 b,,S Pillar (crest) to SE Ridge,3,,"Jozef (Juzek) Psotka (†), Zoltan Demján (Slovakia) and Ang Rita (Nepalese Sherpa)"
30.08.1986,6 a,,N Face (Japanese & Hornbein Couloirs),2,,Erhard Loretan and Jean Troillet (Switzerland)
12.05.1988,14 a,,E Face - S Col - SE Ridge,1,,Stephen M. W. Venables (UK)
17.10.1988,4 a,,SW Face,1,,"Jozef Just (†, Slovakia)"
07.05.1990,2 a,,N Col - NE Ridge,84,,Sergei Arsentiev (Russia) and Grigori Lunyakov (Kazakhstan)
17.05.1991,15 a,,N Face (E Part to Norton Couloir),2,,Battistino (Battista) Bonali (Italy) and Leopold Sulovsky (Czech Republic)
,,,,173,,
,,,S Col and N Col standard routes,156,,
,,,other routes,17,,
16.05.1975,1 a,,S Col - SE Ridge,173,,Junko Tabei (Japan)
27.05.1975,2 a,,N Col - NE Ridge,112,3 N-S Trav.,Phantog (Tibet)
20.05.1986,13 a,,W Ridge - Hornbein Couloir (from Tibet),1,,Sharon Wood (Canada)
,,,,286,,
14.10.1988,1 a,,S Col - SE Ridge,1,,Lydia Bradey (New Zealand)
13.05.1995,2 a,,N Col - NE Ridge,4,,Alison Hargreaves (UK)
,,,,5,,
© Eberhard Jurgalski for 8000ers.com,,,,,,
